PID,SalePrice,Lot Area,Street,Alley,Lot Config,Land Slope,County,State,District_ID,Bldg Type,Overall Cond,Year Built,Year Remod/Add,Exterior,Exter Cond,Bsmt Unf SF,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Open Porch SF,Enclosed Porch,Pool Area,Fence,Sale Condition
737492575,545000,5748,Pave,NA,Inside,Mod,Weber,UT,33,TwnhsE,5,2005,2006,CemntBd,TA,0,1573,Y,1778,0,1778,2,0,2,0,2,5,1,Attchd,2,53,153,0,NA,Partial
592486371,545000,5748,Pave,NA,Inside,Mod,Cassia,ID,33,TwnhsE,5,2005,2006,CemntBd,TA,0,1573,Y,1778,0,1778,2,0,2,0,2,5,1,Attchd,2,53,153,0,NA,Partial
201217642,545000,5748,Pave,NA,Inside,Mod,Albany,WY,33,TwnhsE,5,2005,2006,CemntBd,TA,0,1573,Y,1778,0,1778,2,0,2,0,2,5,1,Attchd,2,53,153,0,NA,Partial
726561929,780000,13693,Pave,NA,Inside,Gtl,Salt Lake,UT,72,1Fam,5,2007,2007,VinylSd,TA,342,2630,Y,2674,0,2674,2,0,2,1,2,8,2,Attchd,3,50,0,0,NA,Normal
446159259,780000,13693,Pave,NA,Inside,Gtl,Kootenai,ID,72,1Fam,5,2007,2007,VinylSd,TA,342,2630,Y,2674,0,2674,2,0,2,1,2,8,2,Attchd,3,50,0,0,NA,Normal
752259219,670067,17169,Pave,NA,CulDSac,Gtl,Salt Lake,UT,71,1Fam,5,2007,2007,CemntBd,TA,636,2320,Y,2290,0,2290,2,0,2,1,2,7,1,Attchd,3,30,0,0,NA,Partial
487621641,670067,17169,Pave,NA,CulDSac,Gtl,Franklin,ID,71,1Fam,5,2007,2007,CemntBd,TA,636,2320,Y,2290,0,2290,2,0,2,1,2,7,1,Attchd,3,30,0,0,NA,Partial
837160193,330000,63887,Pave,NA,Corner,Gtl,Kane,UT,40,1Fam,5,2008,2008,Stucco,TA,466,6110,Y,4692,950,5642,2,0,2,1,3,12,3,Attchd,2,292,0,480,NA,Partial
405576305,330000,63887,Pave,NA,Corner,Gtl,Power,ID,40,1Fam,5,2008,2008,Stucco,TA,466,6110,Y,4692,950,5642,2,0,2,1,3,12,3,Attchd,2,292,0,480,NA,Partial
186959492,330000,63887,Pave,NA,Corner,Gtl,Fremont,WY,40,1Fam,5,2008,2008,Stucco,TA,466,6110,Y,4692,950,5642,2,0,2,1,3,12,3,Attchd,2,292,0,480,NA,Partial
877176820,325000,2500,Pave,Pave,Corner,Gtl,Piute,UT,77,1Fam,8,1915,2005,Stucco,TA,611,910,Y,916,910,1826,1,0,1,1,4,7,1,Attchd,1,0,0,0,NA,Normal
589856016,325000,2500,Pave,Pave,Corner,Gtl,Kootenai,ID,77,1Fam,8,1915,2005,Stucco,TA,611,910,Y,916,910,1826,1,0,1,1,4,7,1,Attchd,1,0,0,0,NA,Normal
853828533,289000,3600,Pave,Grvl,Inside,Gtl,Piute,UT,76,1Fam,7,1917,2007,Stucco,TA,624,624,Y,664,624,1288,1,0,1,0,3,5,1,Attchd,1,103,0,0,NA,Normal
448827010,289000,3600,Pave,Grvl,Inside,Gtl,Kootenai,ID,76,1Fam,7,1917,2007,Stucco,TA,624,624,Y,664,624,1288,1,0,1,0,3,5,1,Attchd,1,103,0,0,NA,Normal
702049893,395000,7800,Pave,NA,Inside,Mod,Kane,UT,38,1Fam,8,1948,2002,MetalSd,Gd,293,896,Y,1112,896,2008,1,0,3,0,3,8,0,Attchd,1,0,0,0,NA,Normal
476447883,395000,7800,Pave,NA,Inside,Mod,Oneida,ID,38,1Fam,8,1948,2002,MetalSd,Gd,293,896,Y,1112,896,2008,1,0,3,0,3,8,0,Attchd,1,0,0,0,NA,Normal
111374905,395000,7800,Pave,NA,Inside,Mod,Crook,WY,38,1Fam,8,1948,2002,MetalSd,Gd,293,896,Y,1112,896,2008,1,0,3,0,3,8,0,Attchd,1,0,0,0,NA,Normal
813736916,422000,39384,Pave,NA,CulDSac,Sev,Sevier,UT,61,1Fam,6,1957,1957,Wd Sdng,TA,595,1705,Y,1390,0,1390,1,0,1,1,1,4,2,Attchd,2,189,0,0,NA,Abnorml
505749543,422000,39384,Pave,NA,CulDSac,Sev,Clearwater,ID,61,1Fam,6,1957,1957,Wd Sdng,TA,595,1705,Y,1390,0,1390,1,0,1,1,1,4,2,Attchd,2,189,0,0,NA,Abnorml
253501896,422000,39384,Pave,NA,CulDSac,Sev,Johnson,WY,61,1Fam,6,1957,1957,Wd Sdng,TA,595,1705,Y,1390,0,1390,1,0,1,1,1,4,2,Attchd,2,189,0,0,NA,Abnorml
804764145,505000,17500,Pave,NA,Inside,Gtl,Weber,UT,35,1Fam,8,1959,2002,BrkFace,Gd,496,1902,Y,1902,0,1902,1,0,2,0,3,7,2,Attchd,2,207,162,0,NA,Normal
558198134,505000,17500,Pave,NA,Inside,Gtl,Jefferson,ID,35,1Fam,8,1959,2002,BrkFace,Gd,496,1902,Y,1902,0,1902,1,0,2,0,3,7,2,Attchd,2,207,162,0,NA,Normal
135560933,505000,17500,Pave,NA,Inside,Gtl,Sherdan,WY,35,1Fam,8,1959,2002,BrkFace,Gd,496,1902,Y,1902,0,1902,1,0,2,0,3,7,2,Attchd,2,207,162,0,NA,Normal
836745400,347000,11512,Pave,NA,Corner,Gtl,Kane,UT,40,1Fam,7,1959,2006,Plywood,TA,300,1019,Y,1357,0,1357,1,0,1,0,2,5,1,Basment,1,0,163,0,GdPrv,Normal
401117240,347000,11512,Pave,NA,Corner,Gtl,Teton,ID,40,1Fam,7,1959,2006,Plywood,TA,300,1019,Y,1357,0,1357,1,0,1,0,2,5,1,Basment,1,0,163,0,GdPrv,Normal
182402592,347000,11512,Pave,NA,Corner,Gtl,Fremont,WY,40,1Fam,7,1959,2006,Plywood,TA,300,1019,Y,1357,0,1357,1,0,1,0,2,5,1,Basment,1,0,163,0,GdPrv,Normal
792037554,348400,12122,Pave,NA,Corner,Gtl,Sevier,UT,62,1Fam,9,1961,2007,CemntBd,TA,77,944,Y,999,0,999,1,0,1,0,3,6,0,Attchd,2,76,0,0,NA,Normal
451911047,348400,12122,Pave,NA,Corner,Gtl,Clearwater,ID,62,1Fam,9,1961,2007,CemntBd,TA,77,944,Y,999,0,999,1,0,1,0,3,6,0,Attchd,2,76,0,0,NA,Normal
243098614,348400,12122,Pave,NA,Corner,Gtl,Johnson,WY,62,1Fam,9,1961,2007,CemntBd,TA,77,944,Y,999,0,999,1,0,1,0,3,6,0,Attchd,2,76,0,0,NA,Normal
879672564,414000,11160,***,NA,Corner,Gtl,Sevier,UT,61,1Fam,5,1968,1968,BrkFace,TA,1045,2110,Y,2110,0,2110,1,0,2,1,3,8,2,Attchd,2,0,0,0,NA,Normal
403337048,414000,11160,Pave,NA,Corner,Gtl,Boundary,ID,61,1Fam,5,1968,1968,BrkFace,TA,1045,2110,Y,2110,0,2110,1,0,2,1,3,8,2,Attchd,2,0,0,0,NA,Normal
150659375,414000,11160,Pave,NA,Corner,Gtl,Johnson,WY,61,1Fam,5,1968,1968,BrkFace,TA,1045,2110,Y,2110,0,2110,1,0,2,1,3,8,2,Attchd,2,0,0,0,NA,Normal
899077305,262000,1533,Pave,NA,Inside,Gtl,Carbon,UT,55,Twnhs,7,1970,1970,CemntBd,TA,77,630,Y,630,0,630,1,0,1,0,1,3,0,NA,0,0,0,0,NA,Abnorml
533684544,262000,1533,Pave,NA,Inside,Gtl,Ada,ID,55,Twnhs,7,1970,1970,CemntBd,TA,77,630,Y,630,0,630,1,0,1,0,1,3,0,NA,0,0,0,0,NA,Abnorml
140119272,262000,1533,Pave,NA,Inside,Gtl,Johnson,WY,55,Twnhs,7,1970,1970,CemntBd,TA,77,630,Y,630,0,630,1,0,1,0,1,3,0,NA,0,0,0,0,NA,Abnorml
838136672,485000,17597,Pave,NA,Inside,Gtl,Weber,UT,34,1Fam,9,1971,2009,BrkFace,Gd,581,1803,Y,2365,0,2365,1,0,2,0,3,7,2,Attchd,2,144,0,0,GdPrv,Normal
549420081,485000,17597,Pave,NA,Inside,Gtl,Gem,ID,34,1Fam,9,1971,2009,BrkFace,Gd,581,1803,Y,2365,0,2365,1,0,2,0,3,7,2,Attchd,2,144,0,0,GdPrv,Normal
294909484,485000,17597,Pave,NA,Inside,Gtl,Albany,WY,34,1Fam,9,1971,2009,BrkFace,Gd,581,1803,Y,2365,0,2365,1,0,2,0,3,7,2,Attchd,2,144,0,0,GdPrv,Normal
823911685,515000,13860,Pave,NA,Inside,Gtl,Sevier,UT,62,1Fam,7,1972,1995,Plywood,TA,542,1952,Y,2000,704,2704,1,0,2,1,4,9,3,Attchd,2,111,0,0,MnPrv,Normal
574526230,515000,13860,Pave,NA,Inside,Gtl,Clearwater,ID,62,1Fam,7,1972,1995,Plywood,TA,542,1952,Y,2000,704,2704,1,0,2,1,4,9,3,Attchd,2,111,0,0,MnPrv,Normal
150295176,515000,13860,Pave,NA,Inside,Gtl,Johnson,WY,62,1Fam,7,1972,1995,Plywood,TA,542,1952,Y,2000,704,2704,1,0,2,1,4,9,3,Attchd,2,111,0,0,MnPrv,Normal
870447358,297000,7200,Pave,NA,Inside,Gtl,Tooele,UT,31,1Fam,5,1972,2000,VinylSd,TA,193,864,Y,864,0,864,1,0,1,0,3,5,0,Detchd,2,0,0,0,NA,Normal
495164934,297000,7200,Pave,NA,Inside,Gtl,Cassia,ID,31,1Fam,5,1972,2000,VinylSd,TA,193,864,Y,864,0,864,1,0,1,0,3,5,0,Detchd,2,0,0,0,NA,Normal
235869086,297000,7200,Pave,NA,Inside,Gtl,Albany,WY,31,1Fam,5,1972,2000,VinylSd,TA,193,864,Y,864,0,864,1,0,1,0,3,5,0,Detchd,2,0,0,0,NA,Normal
884036452,460000,16280,Pave,NA,Inside,Gtl,Utah,UT,104,1Fam,9,1976,2007,VinylSd,Ex,0,1426,Y,1671,0,1671,1,0,3,0,3,6,1,Attchd,2,90,0,0,GdWo,Normal
420383033,460000,16280,Pave,NA,Inside,Gtl,Boundary,ID,104,1Fam,9,1976,2007,VinylSd,Ex,0,1426,Y,1671,0,1671,1,0,3,0,3,6,1,Attchd,2,90,0,0,GdWo,Normal
767481985,488750,14694,Pave,NA,Inside,Gtl,Utah,UT,104,1Fam,9,1977,2008,MetalSd,Ex,306,1694,Y,1694,0,1694,1,0,2,0,2,5,1,Attchd,2,120,225,0,NA,Normal
469282927,488750,14694,Pave,NA,Inside,Gtl,Boundary,ID,104,1Fam,9,1977,2008,MetalSd,Ex,306,1694,Y,1694,0,1694,1,0,2,0,2,5,1,Attchd,2,120,225,0,NA,Normal
806846618,430000,13005,Pave,NA,Corner,Gtl,Beaver,UT,73,1Fam,7,1980,1980,CemntBd,TA,153,845,Y,1153,1200,2353,1,0,2,1,4,10,1,Attchd,2,195,0,0,GdPrv,Normal
506122948,430000,13005,Pave,NA,Corner,Gtl,Kootenai,ID,73,1Fam,7,1980,1980,CemntBd,TA,153,845,Y,1153,1200,2353,1,0,2,1,4,10,1,Attchd,2,195,0,0,GdPrv,Normal
753965920,396500,12680,Pave,NA,Inside,Gtl,Beaver,UT,75,1Fam,6,1988,1988,Plywood,TA,692,1675,Y,1688,0,1688,1,0,2,0,2,6,1,Attchd,2,48,141,0,NA,Normal
556886613,396500,12680,Pave,NA,Inside,Gtl,Kootenai,ID,75,1Fam,6,1988,1988,Plywood,TA,692,1675,Y,1688,0,1688,1,0,2,0,2,6,1,Attchd,2,48,141,0,NA,Normal
737870246,754500,17242,Pave,NA,Inside,Gtl,Wasatch,UT,64,1Fam,5,1993,1994,MetalSd,Gd,48,1733,Y,1933,1567,3500,1,0,3,1,4,11,1,Attchd,3,86,210,0,NA,Normal
572235013,754500,17242,Pave,NA,Inside,Gtl,Franklin,ID,64,1Fam,5,1993,1994,MetalSd,Gd,48,1733,Y,1933,1567,3500,1,0,3,1,4,11,1,Attchd,3,86,210,0,NA,Normal
711978558,440000,9549,Pave,NA,CulDSac,Gtl,Utah,UT,102,TwnhsE,5,1995,1996,BrkFace,Gd,0,1494,Y,1494,0,1494,1,0,1,1,2,6,1,Attchd,2,30,216,0,NA,Normal
412876491,440000,9549,Pave,NA,CulDSac,Gtl,Boundary,ID,102,TwnhsE,5,1995,1996,BrkFace,Gd,0,1494,Y,1494,0,1494,1,0,1,1,2,6,1,Attchd,2,30,216,0,NA,Normal
708827165,573000,15138,Pave,NA,Inside,Gtl,Wasatch,UT,63,1Fam,5,1995,1996,VinylSd,TA,773,1462,Y,1490,1304,2794,1,0,2,1,4,9,1,Attchd,3,146,202,0,NA,Normal
484751456,573000,15138,Pave,NA,Inside,Gtl,Elmore,ID,63,1Fam,5,1995,1996,VinylSd,TA,773,1462,Y,1490,1304,2794,1,0,2,1,4,9,1,Attchd,3,146,202,0,NA,Normal
713923668,915000,15623,Pave,NA,Corner,Gtl,Wasatch,UT,66,1Fam,5,1996,1996,Wd Sdng,TA,300,2396,Y,2411,2065,4476,1,0,3,1,4,10,2,Attchd,3,78,0,555,MnPrv,Abnorml
442416479,915000,15623,Pave,NA,Corner,Gtl,Franklin,ID,66,1Fam,5,1996,1996,Wd Sdng,TA,300,2396,Y,2411,2065,4476,1,0,3,1,4,10,2,Attchd,3,78,0,555,MnPrv,Abnorml
756543716,415500,14963,Pave,NA,Inside,Gtl,Utah,UT,103,TwnhsE,5,1996,1996,BrkFace,TA,474,1260,Y,1288,0,1288,1,0,1,1,1,4,2,Attchd,2,30,224,0,NA,Normal
547531248,415500,14963,Pave,NA,Inside,Gtl,Boundary,ID,103,TwnhsE,5,1996,1996,BrkFace,TA,474,1260,Y,1288,0,1288,1,0,1,1,1,4,2,Attchd,2,30,224,0,NA,Normal
821733611,515000,3951,Pave,Pave,Inside,Gtl,Washington,UT,91,TwnhsE,5,1998,1999,BrkFace,TA,0,970,Y,1469,924,2393,1,0,2,1,2,7,1,Attchd,2,90,94,0,NA,Normal
513904917,515000,3951,Pave,Pave,Inside,Gtl,Bear Lake,ID,91,TwnhsE,5,1998,1999,BrkFace,TA,0,970,Y,1469,924,2393,1,0,2,1,2,7,1,Attchd,2,90,94,0,NA,Normal
892878764,475000,4109,Pave,NA,Inside,Gtl,Washington,UT,88,TwnhsE,5,1999,2000,VinylSd,TA,416,1557,Y,1557,0,1557,1,0,2,0,2,5,1,Attchd,2,113,0,0,NA,Normal
432384831,475000,4109,Pave,NA,Inside,Gtl,Nez Perce,ID,88,TwnhsE,5,1999,2000,VinylSd,TA,416,1557,Y,1557,0,1557,1,0,2,0,2,5,1,Attchd,2,113,0,0,NA,Normal
720948141,470000,4765,Pave,NA,Inside,Gtl,Washington,UT,89,TwnhsE,5,2000,2000,MetalSd,TA,587,1614,Y,1638,0,1638,1,0,2,0,2,5,1,Attchd,2,68,0,0,NA,Normal
590047076,470000,4765,Pave,NA,Inside,Gtl,Payette,ID,89,TwnhsE,5,2000,2000,MetalSd,TA,587,1614,Y,1638,0,1638,1,0,2,0,2,5,1,Attchd,2,68,0,0,NA,Normal
748985135,575000,9233,Pave,NA,Inside,Gtl,Wasatch,UT,65,1Fam,5,2000,2000,VinylSd,TA,358,1540,Y,1540,1315,2855,1,0,2,1,4,9,1,Attchd,3,55,0,0,NA,Normal
456304118,575000,9233,Pave,NA,Inside,Gtl,Franklin,ID,65,1Fam,5,2000,2000,VinylSd,TA,358,1540,Y,1540,1315,2855,1,0,2,1,4,9,1,Attchd,3,55,0,0,NA,Normal
823641111,448000,5664,Pave,NA,Inside,Gtl,Washington,UT,93,TwnhsE,5,2000,2000,CemntBd,TA,343,1501,Y,1659,0,1659,1,0,2,0,2,5,1,Attchd,2,59,0,0,NA,Normal
491835530,448000,5664,Pave,NA,Inside,Gtl,Adams,ID,93,TwnhsE,5,2000,2000,CemntBd,TA,343,1501,Y,1659,0,1659,1,0,2,0,2,5,1,Attchd,2,59,0,0,NA,Normal
758595564,421000,5330,Pave,NA,Inside,Gtl,Washington,UT,93,TwnhsE,5,2000,2000,CemntBd,TA,298,1494,Y,1652,0,1652,1,0,2,0,2,6,0,Attchd,2,48,0,0,NA,Normal
474198856,421000,5330,Pave,NA,Inside,Gtl,Adams,ID,93,TwnhsE,5,2000,2000,CemntBd,TA,298,1494,Y,1652,0,1652,1,0,2,0,2,6,0,Attchd,2,48,0,0,NA,Normal
885368248,483000,11050,Pave,NA,Inside,Gtl,Tooele,UT,25,1Fam,5,2000,2000,VinylSd,TA,536,1440,Y,1476,677,2153,1,0,2,1,3,8,2,Attchd,3,142,0,0,NA,Normal
465942712,483000,11050,Pave,NA,Inside,Gtl,Bonneville,ID,25,1Fam,5,2000,2000,VinylSd,TA,536,1440,Y,1476,677,2153,1,0,2,1,3,8,2,Attchd,3,142,0,0,NA,Normal
149103861,483000,11050,Pave,NA,Inside,Gtl,Carbon,WY,25,1Fam,5,2000,2000,VinylSd,TA,536,1440,Y,1476,677,2153,1,0,2,1,3,8,2,Attchd,3,142,0,0,NA,Normal
894276130,636500,11400,Pave,NA,Inside,Gtl,Wasatch,UT,66,1Fam,5,2001,2002,VinylSd,TA,1351,2633,Y,2633,0,2633,1,0,2,1,2,8,2,Attchd,3,140,0,0,NA,Normal
413482798,636500,11400,Pave,NA,Inside,Gtl,Franklin,ID,66,1Fam,5,2001,2002,VinylSd,TA,1351,2633,Y,2633,0,2633,1,0,2,1,2,8,2,Attchd,3,140,0,0,NA,Normal
879050883,456000,4923,Pave,NA,Inside,Gtl,Washington,UT,92,TwnhsE,5,2001,2002,CemntBd,TA,440,1593,Y,1593,0,1593,1,0,1,1,0,5,1,Attchd,2,120,224,0,NA,Normal
471820124,456000,4923,Pave,NA,Inside,Gtl,Adams,ID,92,TwnhsE,5,2001,2002,CemntBd,TA,440,1593,Y,1593,0,1593,1,0,1,1,0,5,1,Attchd,2,120,224,0,NA,Normal
752224941,460000,4385,Pave,NA,Inside,Gtl,Washington,UT,90,TwnhsE,5,2001,2001,VinylSd,TA,455,1419,Y,1419,0,1419,1,0,1,1,2,5,1,Attchd,2,58,0,0,NA,Normal
412601270,460000,4385,Pave,NA,Inside,Gtl,Bear Lake,ID,90,TwnhsE,5,2001,2001,VinylSd,TA,455,1419,Y,1419,0,1419,1,0,1,1,2,5,1,Attchd,2,58,0,0,NA,Normal
819958433,431500,11885,Pave,NA,Inside,Gtl,Tooele,UT,25,1Fam,5,2001,2001,VinylSd,TA,309,1299,Y,1299,573,1872,1,0,2,1,3,7,1,BuiltIn,2,122,0,0,NA,Normal
565679515,431500,11885,Pave,NA,Inside,Gtl,Bonneville,ID,25,1Fam,5,2001,2001,VinylSd,TA,309,1299,Y,1299,573,1872,1,0,2,1,3,7,1,BuiltIn,2,122,0,0,NA,Normal
201906122,431500,11885,Pave,NA,Inside,Gtl,Carbon,WY,25,1Fam,5,2001,2001,VinylSd,TA,309,1299,Y,1299,573,1872,1,0,2,1,3,7,1,BuiltIn,2,122,0,0,NA,Normal
839496672,670000,14300,Pave,NA,Inside,Mod,Salt Lake,UT,70,1Fam,5,2003,2004,VinylSd,TA,1473,2846,Y,2696,0,2696,1,0,2,1,3,10,2,Attchd,3,150,0,0,NA,Normal
558299871,670000,14300,Pave,NA,Inside,Mod,Franklin,ID,70,1Fam,5,2003,2004,VinylSd,TA,1473,2846,Y,2696,0,2696,1,0,2,1,3,10,2,Attchd,3,150,0,0,NA,Normal
789579136,552500,15262,Pave,NA,Corner,Gtl,Salt Lake,UT,72,1Fam,5,2003,2004,VinylSd,TA,643,2200,Y,2200,0,2200,1,0,2,1,3,8,1,Attchd,3,55,0,0,NA,Normal
597997454,552500,15262,Pave,NA,Corner,Gtl,Kootenai,ID,72,1Fam,5,2003,2004,VinylSd,TA,643,2200,Y,2200,0,2200,1,0,2,1,3,8,1,Attchd,3,55,0,0,NA,Normal
807652519,530000,12378,Pave,NA,Inside,Gtl,Salt Lake,UT,71,1Fam,5,2003,2004,VinylSd,TA,622,1896,Y,1944,0,1944,1,0,2,0,3,8,3,Attchd,3,175,0,0,NA,Normal
567890412,530000,12378,Pave,NA,Inside,Gtl,Kootenai,ID,71,1Fam,5,2003,2004,VinylSd,TA,622,1896,Y,1944,0,1944,1,0,2,0,3,8,3,Attchd,3,175,0,0,NA,Normal
710959625,544000,11846,Pave,NA,Inside,Gtl,Salt Lake,UT,72,1Fam,5,2003,2004,VinylSd,TA,225,1792,Y,1792,0,1792,1,0,2,0,2,6,1,Attchd,3,49,0,0,NA,Normal
511263484,544000,11846,Pave,NA,Inside,Gtl,Kootenai,ID,72,1Fam,5,2003,2004,VinylSd,TA,225,1792,Y,1792,0,1792,1,0,2,0,2,6,1,Attchd,3,49,0,0,NA,Normal
793230124,708000,53504,Pave,NA,CulDSac,Mod,Washington,UT,94,1Fam,5,2003,2003,CemntBd,TA,234,1650,Y,1690,1589,3279,1,0,3,1,4,12,1,BuiltIn,3,36,210,0,NA,Normal
514928215,708000,53504,Pave,NA,CulDSac,Mod,Adams,ID,94,1Fam,5,2003,2003,CemntBd,TA,234,1650,Y,1690,1589,3279,1,0,3,1,4,12,1,BuiltIn,3,36,210,0,NA,Normal
731264686,582500,13688,Pave,NA,Inside,Gtl,Salt Lake,UT,71,1Fam,5,2003,2004,VinylSd,TA,556,1572,Y,1572,1096,2668,1,0,2,1,3,10,2,BuiltIn,3,0,0,0,NA,Normal
560907951,582500,13688,Pave,NA,Inside,Gtl,Franklin,ID,71,1Fam,5,2003,2004,VinylSd,TA,556,1572,Y,1572,1096,2668,1,0,2,1,3,10,2,BuiltIn,3,0,0,0,NA,Normal
766554505,410900,7000,Pave,NA,Inside,Gtl,Washington,UT,89,1Fam,5,2003,2003,CemntBd,TA,304,926,Y,1016,868,1884,1,0,2,1,3,7,1,Attchd,2,35,0,0,NA,Normal
408626670,410900,7000,Pave,NA,Inside,Gtl,Payette,ID,89,1Fam,5,2003,2003,CemntBd,TA,304,926,Y,1016,868,1884,1,0,2,1,3,7,1,Attchd,2,35,0,0,NA,Normal
798748276,722000,14836,Pave,NA,Inside,Mod,Salt Lake,UT,72,1Fam,5,2004,2005,CemntBd,TA,346,2492,Y,2492,0,2492,1,0,2,1,2,8,1,Attchd,3,235,0,0,NA,Abnorml
458912616,722000,14836,Pave,NA,Inside,Mod,Kootenai,ID,72,1Fam,5,2004,2005,CemntBd,TA,346,2492,Y,2492,0,2492,1,0,2,1,2,8,1,Attchd,3,235,0,0,NA,Abnorml
888139030,485000,16737,Pave,NA,FR3,Gtl,Salt Lake,UT,72,1Fam,5,2004,2005,VinylSd,TA,533,1980,Y,1980,0,1980,1,0,2,0,3,8,1,Attchd,3,45,0,0,NA,Normal
577282391,485000,16737,Pave,NA,FR3,Gtl,Kootenai,ID,72,1Fam,5,2004,2005,VinylSd,TA,533,1980,Y,1980,0,1980,1,0,2,0,3,8,1,Attchd,3,45,0,0,NA,Normal
898027202,557000,15401,Pave,NA,CulDSac,Gtl,Washington,UT,93,1Fam,5,2004,2004,VinylSd,TA,547,1884,Y,1884,0,1884,1,0,2,0,2,7,1,Attchd,3,76,0,0,NA,Normal
494175379,557000,15401,Pave,NA,CulDSac,Gtl,Adams,ID,93,1Fam,5,2004,2004,VinylSd,TA,547,1884,Y,1884,0,1884,1,0,2,0,2,7,1,Attchd,3,76,0,0,NA,Normal
799320822,548000,14828,Pave,NA,Corner,Gtl,Salt Lake,UT,72,1Fam,5,2004,2005,MetalSd,TA,397,1780,Y,1780,0,1780,1,0,2,0,2,7,1,Attchd,3,68,0,0,NA,Normal
471904407,548000,14828,Pave,NA,Corner,Gtl,Kootenai,ID,72,1Fam,5,2004,2005,MetalSd,TA,397,1780,Y,1780,0,1780,1,0,2,0,2,7,1,Attchd,3,68,0,0,NA,Normal
797760901,444900,9591,Pave,NA,Inside,Gtl,Salt Lake,UT,72,1Fam,5,2004,2005,VinylSd,TA,625,1713,Y,1713,0,1713,1,0,2,0,3,7,1,Attchd,3,26,170,0,NA,Normal
435150567,444900,9591,Pave,NA,Inside,Gtl,Kootenai,ID,72,1Fam,5,2004,2005,VinylSd,TA,625,1713,Y,1713,0,1713,1,0,2,0,3,7,1,Attchd,3,26,170,0,NA,Normal
718318364,420000,3811,Pave,NA,Inside,Mod,Weber,UT,37,TwnhsE,5,2004,2005,CemntBd,TA,120,1594,Y,1646,0,1646,1,1,2,0,2,5,1,Attchd,2,53,155,0,NA,Normal
484802029,420000,3811,Pave,NA,Inside,Mod,Jefferson,ID,37,TwnhsE,5,2004,2005,CemntBd,TA,120,1594,Y,1646,0,1646,1,1,2,0,2,5,1,Attchd,2,53,155,0,NA,Normal
203259040,420000,3811,Pave,NA,Inside,Mod,Sherdan,WY,37,TwnhsE,5,2004,2005,CemntBd,TA,120,1594,Y,1646,0,1646,1,1,2,0,2,5,1,Attchd,2,53,155,0,NA,Normal
